Location,Date,AQI
District of Columbia,1981-08-12,77.0
District of Columbia,1981-08-13,56.0
District of Columbia,1981-08-14,84.0
District of Columbia,1981-08-15,74.0
District of Columbia,1981-08-16,46.0
District of Columbia,1981-08-17,43.0
District of Columbia,1981-08-18,57.0
District of Columbia,1981-08-19,59.0
District of Columbia,1981-08-20,108.0
District of Columbia,1981-08-21,63.0
District of Columbia,1981-08-22,33.0
District of Columbia,1981-08-23,68.0
District of Columbia,1981-08-24,74.0
District of Columbia,1981-08-25,55.0
District of Columbia,1981-08-26,52.0
District of Columbia,1981-08-27,67.0
District of Columbia,1981-08-28,74.0
District of Columbia,1981-08-29,52.0
District of Columbia,1981-08-30,38.0
District of Columbia,1981-08-31,67.0
District of Columbia,1981-09-01,42.0
District of Columbia,1981-09-02,57.0
District of Columbia,1981-09-03,53.0
District of Columbia,1981-09-04,52.0
District of Columbia,1981-09-05,52.0
District of Columbia,1981-09-06,47.0
District of Columbia,1981-09-07,47.0
District of Columbia,1981-09-08,52.0
District of Columbia,1981-09-09,85.0
District of Columbia,1981-09-10,84.0
District of Columbia,1981-09-11,95.0
District of Columbia,1981-09-12,129.0
District of Columbia,1981-09-13,154.0
District of Columbia,1981-09-14,143.0
District of Columbia,1981-09-15,84.0
District of Columbia,1981-09-16,73.0
District of Columbia,1981-09-17,49.0
District of Columbia,1981-09-18,91.0
District of Columbia,1981-09-19,41.0
District of Columbia,1981-09-20,38.0
District of Columbia,1981-09-21,54.0
District of Columbia,1981-09-22,58.0
District of Columbia,1981-09-23,33.0
District of Columbia,1981-09-24,43.0
District of Columbia,1981-09-25,86.0
District of Columbia,1981-09-26,102.0
District of Columbia,1981-09-27,52.0
District of Columbia,1981-09-28,42.0
District of Columbia,1981-09-29,52.0
District of Columbia,1981-09-30,63.0
District of Columbia,1981-10-01,52.0
District of Columbia,1981-10-02,68.0
District of Columbia,1981-10-03,28.0
District of Columbia,1981-10-04,52.0
District of Columbia,1981-10-05,136.0
District of Columbia,1981-10-06,128.0
District of Columbia,1981-10-07,57.0
District of Columbia,1981-10-08,41.0
District of Columbia,1981-10-09,84.0
District of Columbia,1981-10-10,78.0
District of Columbia,1981-10-11,52.0
District of Columbia,1981-10-12,57.0
